Salary_ID,Grade_Level,Basic_Salary,Basic_Commission,Gross_payment,Tax,Net_Payment
1,1,20000,4000,24000,2400,21600
2,2,25000,5000,30000,3000,27000
3,3,30000,6000,36000,3600,32400
4,4,35000,7000,42000,4200,37800
5,5,40000,8000,48000,4800,43200
6,6,45000,9000,54000,5400,48600
7,7,50000,10000,60000,6000,54000
8,8,55000,11000,66000,6600,59400
9,9,60000,12000,72000,7200,64800
10,10,70000,14000,84000,8400,75600
11,11,75000,15000,90000,9000,81000
12,12,80000,16000,96000,9600,86400
13,13,85000,17000,102000,10200,91800
14,14,90000,18000,108000,10800,97200
15,15,100000,20000,120000,12000,108000
